1;929.00;12.48;1965.00;big
1;770.00;11.00;2003.00;big
2;1335.00;19.18;1949.00;big
2;1135.00;21.65;1943.00;big
3;1519.00;20.55;1964.00;big
3;1683.00;17.68;1954.00;big
4;1884.00;19.25;2012.00;big
4;2110.00;15.10;2021.00;big
5;1800.00;15.40;1911.00;big
5;1915.00;11.50;1881.00;big
6;2135.00;21.65;1914.00;big
6;2006.00;13.48;1922.00;big
7;2247.00;19.55;1946.00;big
7;2431.00;19.95;1907.00;big
8;2409.00;15.12;1824.00;big
9;2456.00;19.30;1971.00;big
10;2462.00;9.50;2028.00;big
11;2782.00;9.50;2024.00;big
11;2626.00;9.50;2008.00;big
12;2787.00;9.50;1754.00;big
12;2752.00;9.50;1905.00;big
13;2674.00;16.85;1834.00;big
13;2550.00;18.65;1869.00;big
14;2505.00;10.50;1715.00;big
14;2358.00;12.30;1693.00;big
15;2225.00;16.68;1743.00;big
15;2102.00;11.35;1782.00;big
16;1892.00;11.85;1769.00;big
16;1991.00;12.80;1771.00;big
17;1469.00;10.30;1828.00;big
17;1587.00;11.65;1835.00;big
18;1694.00;10.85;1796.00;big
18;1785.00;12.85;1819.00;big
19;1267.00;9.50;1723.00;big
19;1095.00;9.50;1741.00;big
20;1231.00;9.50;1806.00;big
20;1374.00;9.50;1823.00;big
21;1229.00;9.50;1612.00;big
21;1364.00;9.50;1648.00;big
22;1089.00;9.50;1819.00;big
22;990.00;9.50;1860.00;big
23;977.00;9.50;1713.00;big
23;1092.00;9.50;1615.00;big
24;861.00;9.50;1722.00;big
24;842.00;9.50;1839.00;big
25;1450.00;10.75;1693.00;big
25;1506.00;10.93;1770.00;big
26;1589.00;10.90;1698.00;big
26;1684.00;12.45;1699.00;big
27;1873.00;12.00;1672.00;big
27;1796.00;12.75;1706.00;big
28;2490.00;10.23;1602.00;big
28;2382.00;9.98;1602.00;big
29;2268.00;11.90;1592.00;big
29;2157.00;12.82;1599.00;big
30;2087.00;11.10;1640.00;big
30;2000.00;12.95;1678.00;big
31;669.00;9.50;1920.00;big
31;770.00;9.50;1905.00;big
32;488.00;9.50;2033.00;big
32;625.00;9.50;1992.00;big
33;464.00;9.50;1974.00;big
33;255.00;9.50;1909.00;big
34;63.00;9.50;1979.00;big
34;283.00;9.50;2012.00;big
35;1829.00;12.23;1577.00;big
35;1957.00;11.20;1574.00;big
36;2342.00;12.82;1436.00;big
36;2402.00;10.73;1507.00;big
37;2476.00;10.10;1269.00;big
37;2453.00;10.50;1401.00;big
38;2227.00;10.73;1460.00;big
38;2305.00;12.32;1388.00;big
39;2013.00;11.30;1449.00;big
39;2115.00;10.50;1475.00;big
40;1930.00;11.05;1479.00;big
40;1875.00;12.50;1491.00;big
41;1756.00;11.35;1591.00;big
41;1655.00;10.95;1558.00;big
42;1382.00;10.20;1526.00;big
42;1418.00;10.55;1601.00;big
43;1563.00;12.38;1570.00;big
43;1490.00;12.25;1560.00;big
44;1232.00;14.78;1324.00;big
44;1392.00;13.43;1343.00;big
45;1639.00;10.65;1399.00;big
45;1764.00;10.50;1452.00;big
46;1499.00;10.60;1415.00;big
46;1600.00;10.60;1480.00;big
47;1877.00;10.25;1403.00;big
47;2009.00;13.48;1358.00;big
48;1880.00;11.55;1263.00;big
48;1985.00;10.65;1227.00;big
49;1158.00;11.50;1519.00;big
49;1250.00;10.48;1487.00;big
50;1312.00;9.90;1442.00;big
50;1387.00;10.85;1454.00;big
51;2158.00;12.50;1304.00;big
51;2069.00;10.45;1280.00;big
52;1534.00;10.70;1277.00;big
52;1630.00;10.70;1224.00;big
53;1798.00;10.55;1316.00;big
53;1678.00;16.83;1319.00;big
54;1730.00;11.98;1106.00;big
54;1722.00;11.25;1187.00;big
55;1562.00;11.75;1137.00;big
55;1481.00;11.30;1091.00;big
56;1617.00;10.38;1010.00;big
56;1631.00;18.90;1096.00;big
57;1444.00;9.50;1263.00;big
57;1379.00;9.50;1158.00;big
58;1121.00;9.50;1227.00;big
58;1246.00;9.50;1133.00;big
59;1851.00;17.80;1145.00;big
59;2016.00;17.27;1123.00;big
60;2448.00;11.03;1194.00;big
60;2521.00;10.60;1146.00;big
61;2341.00;12.82;1287.00;big
61;2233.00;12.53;1301.00;big
62;2157.00;10.35;1179.00;big
62;2324.00;14.88;1202.00;big
63;2173.00;10.73;1090.00;big
63;2324.00;10.40;1088.00;big
64;1787.00;10.23;1031.00;big
64;1930.00;11.12;1028.00;big
65;1769.00;13.20;921.00;big
65;1937.00;10.62;915.00;big
66;2074.00;12.45;1004.00;big
66;2028.00;13.70;905.00;big
67;2264.00;12.05;932.00;big
67;2148.00;11.00;897.00;big
68;2378.00;9.90;909.00;big
68;2515.00;9.90;1012.00;big
69;1656.00;10.95;882.00;big
69;1721.00;10.50;836.00;big
70;1749.00;11.38;789.00;big
70;1854.00;12.50;832.00;big
71;2402.00;10.10;793.00;big
71;2358.00;10.90;713.00;big
72;2030.00;10.90;764.00;big
72;2230.00;12.10;794.00;big
73;2199.00;10.10;630.00;big
73;1988.00;9.80;667.00;big
74;2363.00;11.75;599.00;big
74;2428.00;10.25;492.00;big
75;1974.00;10.35;532.00;big
75;2182.00;11.00;516.00;big
76;2179.00;10.50;403.00;big
76;2345.00;10.30;400.00;big
77;2354.00;10.70;293.00;big
77;2169.00;10.20;326.00;big
78;2142.00;16.20;471.00;big
78;2044.00;19.93;467.00;big
79;2015.00;11.00;382.00;big
79;1924.00;10.53;426.00;big
80;1923.00;11.65;582.00;big
80;1866.00;11.03;558.00;big
81;1696.00;10.60;690.00;big
81;1828.00;12.30;683.00;big
82;1708.00;16.05;555.00;big
82;1818.00;10.50;512.00;big
83;1524.00;9.90;696.00;big
83;1550.00;9.85;688.00;big
84;1592.00;9.50;784.00;big
84;1579.00;9.50;936.00;big
85;1496.00;9.50;989.00;big
85;1376.00;9.50;1032.00;big
86;1247.00;9.50;963.00;big
86;1439.00;9.50;852.00;big
87;970.00;10.48;1620.00;big
87;1055.00;16.12;1542.00;big
88;2542.00;10.12;220.00;big
88;2479.00;10.03;219.00;big
89;748.00;16.15;1697.00;big
89;881.00;12.10;1673.00;big
90;943.00;12.68;1493.00;big
90;1089.00;12.35;1423.00;big
91;779.00;12.18;1585.00;big
91;879.00;11.82;1579.00;big
92;346.00;10.20;1742.00;big
92;406.00;12.07;1878.00;big
93;586.00;10.90;1727.00;big
93;643.00;10.43;1845.00;big
94;454.00;10.70;1606.00;big
94;647.00;12.53;1622.00;big
95;466.00;12.00;1444.00;big
95;327.00;10.80;1431.00;big
96;198.00;9.50;1770.00;big
96;261.00;9.50;1649.00;big
97;353.00;9.50;1542.00;big
97;221.00;9.50;1463.00;big
98;80.00;9.50;1785.00;big
98;75.00;9.50;1510.00;big
99;615.00;11.50;1449.00;big
99;820.00;9.95;1436.00;big
100;720.00;10.90;1280.00;big
100;552.00;10.30;1304.00;big
101;552.00;11.03;1164.00;big
101;516.00;10.30;1061.00;big
102;1137.00;20.25;1331.00;big
