101;arms_factory;3466.00;10.23;116.00;1.43;0
101;arms_factory;3472.00;10.12;113.00;1.53;0
101;arms_factory;3465.00;10.15;113.00;5.65;0
101;arms_factory;3465.00;10.15;113.00;2.04;0
101;arms_factory;3480.00;10.25;110.00;4.70;0
101;arms_factory;3480.00;10.25;110.00;6.26;0
101;industrial_complex;3473.00;10.10;110.00;4.10;0
101;industrial_complex;3480.00;10.20;107.00;0.48;0
101;industrial_complex;3480.00;10.20;107.00;3.15;0
101;industrial_complex;3472.00;10.05;107.00;6.16;0
101;industrial_complex;3477.00;10.10;104.00;1.09;0
101;industrial_complex;3469.00;10.00;104.00;5.22;0
101;air_base;3481.00;10.10;103.00;0.49;0
101;supply_node;3440.00;10.18;121.00;5.08;0
101;supply_node;3518.00;10.10;122.00;1.73;0
101;supply_node;3505.00;10.18;141.00;3.21;0
101;supply_node;3472.00;10.05;107.00;0.97;0
101;supply_node;3526.00;10.03;140.00;3.91;0
101;supply_node;3486.00;10.12;131.00;5.38;0
101;supply_node;3496.00;10.10;104.00;3.14;0
101;supply_node;3452.00;9.90;105.00;4.62;0
101;supply_node;3462.00;10.18;126.00;1.28;0
101;naval_base;3531.00;9.90;143.00;-3.14;8878
101;naval_base;3432.00;9.88;122.00;-1.89;9354
101;naval_base;3511.00;9.60;104.00;1.18;9509
101;naval_base;3451.00;9.60;101.00;0.17;9260
101;naval_base;3456.00;9.88;133.00;-2.72;9354
101;naval_base;3482.00;9.90;147.00;-2.91;10155
101;naval_base;3522.00;9.50;111.00;0.08;9509
101;naval_base;3498.00;9.88;150.00;-3.14;8878
101;naval_base;3471.00;9.50;95.00;-0.08;9260
101;bunker;3499.00;10.28;138.00;2.62;0
101;bunker;3516.00;10.00;131.00;5.28;0
101;bunker;3457.00;10.23;116.00;1.67;0
101;bunker;3487.00;10.03;143.00;4.33;0
101;bunker;3524.00;10.03;138.00;1.07;0
101;bunker;3484.00;10.20;112.00;2.27;0
101;bunker;3494.00;10.30;120.00;0.11;0
101;bunker;3448.00;10.20;125.00;2.78;0
101;bunker;3452.00;9.90;105.00;4.34;0
101;coastal_bunker;3470.00;9.88;138.00;-2.01;0
101;coastal_bunker;3535.00;9.88;127.00;1.30;0
101;coastal_bunker;3458.00;9.88;134.00;-2.72;0
101;coastal_bunker;3508.00;9.85;100.00;1.18;0
101;coastal_bunker;3477.00;9.50;94.00;-0.08;0
101;coastal_bunker;3523.00;9.90;151.00;-3.14;0
101;coastal_bunker;3432.00;9.62;125.00;-1.89;0
101;coastal_bunker;3505.00;9.88;151.00;-3.14;0
101;coastal_bunker;3443.00;9.60;107.00;-1.77;0
101;dockyard;3492.00;9.60;149.00;-2.09;0
101;anti_air_building;3510.00;10.10;118.00;3.29;0
101;anti_air_building;3524.00;9.93;117.00;1.13;0
101;anti_air_building;3524.00;9.93;117.00;2.34;0
101;synthetic_refinery;3509.00;10.10;114.00;0.18;0
