0;0;0;0;land;false;unknown;0
1;223;216;169;land;false;plains;1
2;123;229;172;land;false;plains;1
3;155;149;205;land;false;plains;1
4;144;216;163;land;false;jungle;1
5;229;51;249;land;false;marsh;1
6;143;246;247;land;true;plains;1
7;213;184;199;land;false;desert;1
8;176;190;189;land;false;plains;1
9;203;233;244;land;false;mountain;1
10;174;209;237;land;true;plains;1
11;62;216;254;land;false;plains;1
12;209;196;231;land;true;plains;1
13;229;242;84;land;false;marsh;1
14;205;195;181;land;false;plains;1
15;239;142;212;land;false;plains;1
16;159;189;183;land;false;mountain;1
17;248;184;250;land;true;plains;1
18;149;246;121;land;false;forest;1
19;188;187;185;land;false;plains;1
20;170;154;183;land;false;plains;1
21;248;234;60;land;false;plains;1
22;252;121;143;land;false;jungle;1
23;225;73;232;land;false;desert;1
24;193;199;208;land;false;mountain;1
25;218;188;173;land;false;desert;1
26;156;155;206;land;false;mountain;1
27;233;212;61;land;false;plains;1
28;246;141;127;land;false;plains;1
29;190;176;218;land;false;plains;1
30;253;232;153;land;false;mountain;1
31;232;232;144;land;false;plains;1
32;157;140;206;land;false;plains;1
33;190;251;254;land;false;marsh;1
34;139;152;245;land;false;mountain;1
35;155;201;211;land;false;forest;1
36;150;171;240;land;false;plains;1
37;163;122;233;land;false;plains;1
38;120;200;181;land;false;marsh;1
39;229;233;155;land;false;jungle;1
40;81;202;236;land;false;plains;1
41;243;187;163;land;false;plains;1
42;252;225;87;land;false;mountain;1
43;112;209;203;land;false;jungle;1
44;201;245;87;land;false;marsh;1
45;101;230;238;land;false;plains;1
46;207;175;222;land;true;plains;1
47;182;186;134;land;false;marsh;1
48;237;173;113;land;false;plains;1
49;244;87;228;land;false;forest;1
50;144;148;210;land;true;plains;1
51;139;200;178;land;false;desert;1
52;222;247;72;land;false;desert;1
53;227;225;82;land;false;plains;1
54;147;229;195;land;false;hills;1
55;165;174;185;land;false;mountain;1
56;247;133;198;land;false;marsh;1
57;228;153;202;land;false;forest;1
